,article_name,article_quality,country,revision_id,population
0,Template:ZambiaProvincialMinisters,Stub,Zambia,235107991,15473900
1,Gladys Lundwe,Stub,Zambia,757566606,15473900
2,Mwamba Luchembe,Stub,Zambia,764848643,15473900
3,Thandiwe Banda,Start,Zambia,768166426,15473900
4,Sylvester Chisembele,C,Zambia,776082926,15473900
5,Victoria Kalima,Start,Zambia,776530837,15473900
6,Margaret Mwanakatwe,Start,Zambia,779747587,15473900
7,Nkandu Luo,C,Zambia,779747961,15473900
8,Susan Nakazwe,Start,Zambia,779748181,15473900
9,Catherine Namugala,Start,Zambia,779748285,15473900
10,Edith Nawakwi,Start,Zambia,779748522,15473900
11,Joyce Nonde-Simukoko,Start,Zambia,779748628,15473900
12,Gladys Nyirongo,C,Zambia,779748837,15473900
13,Vera Tembo,Start,Zambia,779748931,15473900
14,Ompie Nkumbula-Lieventhal,Stub,Zambia,790011468,15473900
15,Besnat Jere,Stub,Zambia,791225634,15473900
16,Esther Lungu,C,Zambia,792296625,15473900
17,Inonge Wina,Start,Zambia,794006130,15473900
18,Maureen Mwanawasa,Start,Zambia,795820299,15473900
19,First Lady of Zambia,Start,Zambia,796467991,15473900
20,Jean Kapata,Start,Zambia,797469872,15473900
21,Peter Sinkamba,Stub,Zambia,799512628,15473900
22,Gwendoline Konie,Start,Zambia,803304465,15473900
23,Kenneth Kaunda,C,Zambia,805875783,15473900
24,Inonge Mbikusita-Lewanika,Start,Zambia,805993958,15473900
25,Yobert K. Shamapande,C,Zambia,806345311,15473900
26,Bir I of Kanem,Stub,Chad,355319463,13707000
27,Abdullah II of Kanem,Stub,Chad,498683267,13707000
28,Salmama II of Kanem,Stub,Chad,565745353,13707000
29,Kuri I of Kanem,Stub,Chad,565745365,13707000
30,Mohammed I of Kanem,Stub,Chad,565745375,13707000
31,Kuri II of Kanem,Stub,Chad,669719757,13707000
32,Bir II of Kanem,Stub,Chad,670893206,13707000
33,Mahamat Hissene,Stub,Chad,693055898,13707000
34,Othman I,Stub,Chad,705432607,13707000
35,Alphonse Kotiga,Stub,Chad,707593108,13707000
36,Oueddei Kichidemi,Start,Chad,708346649,13707000
37,Dunama I,Stub,Chad,710675092,13707000
38,Ahmad (Kanem-Bornu king),Stub,Chad,711388267,13707000
39,Djibrine Kerallah,Stub,Chad,712971263,13707000
40,Maurice Ngangtar,Stub,Chad,712971315,13707000
41,Idriss Miskine,Stub,Chad,712971738,13707000
42,Laoukein Kourayo Médard,Stub,Chad,716886170,13707000
43,Nadji Madou,Stub,Chad,716886788,13707000
44,Noël Milarew Odingar,Start,Chad,716891799,13707000
45,Yaya Dillo Djérou,Stub,Chad,717733209,13707000
46,Acheikh Ibn-Oumar,Start,Chad,719821590,13707000
47,Quatre Sou Quatre,Stub,Chad,720066754,13707000
48,Ali Gazi,Stub,Chad,722563340,13707000
49,Mahamat Djarma Khatir,Stub,Chad,725132042,13707000
50,Dunama IX Lefiami,Stub,Chad,731749611,13707000
51,Dawud of Kanem,Stub,Chad,736550266,13707000
52,Ahmed Koulamallah,Start,Chad,738855197,13707000
53,Abbo Nassour,C,Chad,741369486,13707000
54,Abdel Kader Baba-Laddé,Stub,Chad,742213176,13707000
55,Hummay,Stub,Chad,747271475,13707000
56,Ngarlejy Yorongar,C,Chad,751304544,13707000
57,Saleh Kezabo,Stub,Chad,751380073,13707000
58,Bourkou Louise Kabo,Start,Chad,757072468,13707000
59,Brahim Koulamallah,Stub,Chad,757802238,13707000
60,Saadie Goukouni Weddeye,Start,Chad,757842614,13707000
61,Mahamoud Adam Béchir,Start,Chad,762579466,13707000
62,Kalthouma Nguembang,Stub,Chad,762816132,13707000
63,Djidingar Dono Ngardoum,Stub,Chad,764133533,13707000
64,Template:ChadPMs,Stub,Chad,768123377,13707000
65,Template:ChadPres,Stub,Chad,770535091,13707000
66,Youssouf Saleh Abbas,B,Chad,771052289,13707000
67,Koibla Djimasta,Start,Chad,774223245,13707000
68,Nassour Guelendouksia Ouaido,C,Chad,774223248,13707000
69,Joseph Brahim Seid,Stub,Chad,777478442,13707000
70,Joseph Yodoyman,Start,Chad,777550078,13707000
71,Antoine Bangui,Start,Chad,782638002,13707000
72,Ibrahim IV of Bornu,Stub,Chad,785614014,13707000
73,Hadjé Halimé,C,Chad,786449636,13707000
74,Youssouf Togoïmi,Start,Chad,787390241,13707000
75,Adoum Younousmi,Start,Chad,787719236,13707000
76,François Tombalbaye,C,Chad,787738541,13707000
77,Ahmat Hassaballah Soubiane,Stub,Chad,787910771,13707000
78,Ahmad Allam-Mi,Start,Chad,787921293,13707000
79,Laotegguelnodji Koumtog,Stub,Chad,788009613,13707000
80,Mahamat Ali Adoum,Start,Chad,788014671,13707000
81,Mahamat Saleh Annadif,Start,Chad,788658822,13707000
82,Mohamed Bechir-Sow,Stub,Chad,788827248,13707000
83,Gontchomé Sahoulba,Start,Chad,788828388,13707000
84,Gabriel Lisette,Start,Chad,788828519,13707000
85,Ali II of Bornu,Stub,Chad,788999424,13707000
86,Arabi El Goni,Stub,Chad,789126126,13707000
87,Dunama Dabbalemi,Start,Chad,789935196,13707000
88,Idris Alooma,Start,Chad,792734868,13707000
89,Mahamat Nouri,FA,Chad,792954115,13707000
90,Idriss Ndele Moussa,Start,Chad,796654025,13707000
91,Mbaydoum Simeon,Stub,Chad,796690873,13707000
92,Ngarindo Milengar,Stub,Chad,796700718,13707000
93,List of Prime Ministers of Chad,Start,Chad,797747674,13707000
94,Idriss Déby,B,Chad,798286150,13707000
95,Saleh Kebzabo,C,Chad,798626040,13707000
96,Moussa Faki,C,Chad,799043301,13707000
97,Template:Chad-politician-stub,Stub,Chad,799373925,13707000
98,Kalzeubet Pahimi Deubet,Stub,Chad,799413193,13707000
99,Haroun Kabadi,Start,Chad,799447895,13707000
100,Nagoum Yamassoum,Start,Chad,799447995,13707000
101,Outel Bono,Stub,Chad,799448338,13707000
102,Ahmat Acyl,B,Chad,799902492,13707000
103,Djimrangar Dadnadji,Start,Chad,800133552,13707000
104,Delwa Kassiré Koumakoye,C,Chad,801029539,13707000
105,Fidèle Moungar,C,Chad,801192255,13707000
106,Jean Alingué Bawoyeu,C,Chad,801192303,13707000
107,Emmanuel Nadingar,C,Chad,801573576,13707000
108,Roger Djikisna,Stub,Chad,801583221,13707000
109,Firmin Djidingar,Stub,Chad,801583260,13707000
110,Idris I of Kanem,Stub,Chad,802874918,13707000
111,Vice President of Chad,Stub,Chad,803166509,13707000
112,Hissène Habré,GA,Chad,803166806,13707000
113,Negue Djogo,Start,Chad,803166989,13707000
114,Wadel Abdelkader Kamougué,C,Chad,803167152,13707000
115,Félix Malloum,Start,Chad,803167336,13707000
116,Lol Mahamat Choua,C,Chad,803167424,13707000
117,Goukouni Oueddei,C,Chad,803167990,13707000
118,Albert Pahimi Padacké,C,Chad,803433107,13707000
119,List of heads of state of Chad,Start,Chad,803812011,13707000
120,Elise Loum,Start,Chad,804773540,13707000
121,Agnes Allafi,Start,Chad,805493169,13707000
122,Christine Georges Diguibaye,Stub,Chad,806337653,13707000
123,Pascal Yoadimnadji,C,Chad,806508985,13707000
124,Aissa Koli,Stub,Chad,806616268,13707000
125,Omar I of Kanem,Start,Chad,807425129,13707000
126,Template:Zimbabwe-politician-stub,Stub,Zimbabwe,391862046,17354000
127,Template:Zimbabwe-mayor-stub,Stub,Zimbabwe,444767985,17354000
128,Jabulani Dube,Stub,Zimbabwe,645408814,17354000
129,Fletcher Dulini,Stub,Zimbabwe,669981316,17354000
130,Leopold Takawira,Start,Zimbabwe,710060929,17354000
131,Tinos Rusere,Start,Zimbabwe,710524880,17354000
132,Gift Tandare,Stub,Zimbabwe,710615823,17354000
133,Engelbert Rugeje,Start,Zimbabwe,711448400,17354000
134,Max Mnkandla,Stub,Zimbabwe,711509855,17354000
135,Lovemore Matombo,Stub,Zimbabwe,711958194,17354000
136,Alfred Nikita Mangena,Stub,Zimbabwe,712004487,17354000
137,Simbi Mubako,Stub,Zimbabwe,713121927,17354000
138,Nicholas Kiti kiti,Stub,Zimbabwe,713308132,17354000
139,Aleck Gumbo,Stub,Zimbabwe,713580662,17354000
140,Jabulani Sibanda,Start,Zimbabwe,713618917,17354000
141,Cain Mathema,Stub,Zimbabwe,713726531,17354000
142,Patrick Kombayi,Stub,Zimbabwe,713740128,17354000
143,Langton Towungana,Stub,Zimbabwe,713899377,17354000
144,Eric Matinenga,Stub,Zimbabwe,714455111,17354000
145,Emmanuel Chiroto,Start,Zimbabwe,714535045,17354000
146,Muchadeyi Masunda,C,Zimbabwe,714706533,17354000
147,David Butau,Stub,Zimbabwe,714967769,17354000
148,Thompson Samkange,Stub,Zimbabwe,715131189,17354000
149,Nomalanga Khumalo,Stub,Zimbabwe,715183334,17354000
150,Henry Dzinotyiweyi,Stub,Zimbabwe,715867004,17354000
151,Edward Raradza,Stub,Zimbabwe,716017725,17354000
152,Rekayi Tangwena,Stub,Zimbabwe,716669163,17354000
153,Sibonile Nyamudeza,Stub,Zimbabwe,717380254,17354000
154,Misheck Kagurabadza,Stub,Zimbabwe,720008799,17354000
155,Morgan Femai,Stub,Zimbabwe,721674926,17354000
156,Bybit Lydia Tsomondo,Stub,Zimbabwe,723082034,17354000
157,Kisinoti Mukwazhe,Stub,Zimbabwe,723353282,17354000
158,David Karimanzira,Stub,Zimbabwe,725242133,17354000
